Waf: Entering directory `/home/zarif98sjs/ns-3-dev/build'
Waf: Leaving directory `/home/zarif98sjs/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.422s)
Running the simulation :( 
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
nQueued: 0 , Capacity 153600, Percent : 0
